,ep,explo,year,biomass_g,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2
185,AEG36,ALB,2018,133.5,279.0,582.0,317.0,4481.0,4339.0,945.0,3274.0,4131.0,1736.0,772.0
186,AEG37,ALB,2018,363.0,368.0,664.0,414.0,4733.0,4554.0,1012.0,3473.0,4303.0,2088.0,939.0
187,AEG38,ALB,2018,138.0,318.0,607.0,368.0,4540.0,4369.0,967.0,3311.0,4157.0,1728.0,777.0
188,AEG39,ALB,2018,383.5,338.0,633.0,394.0,4486.0,4324.0,914.0,3244.0,4136.0,1684.0,747.0
189,AEG40,ALB,2018,181.0,366.0,694.0,454.5,4265.5,4179.5,1069.0,3294.0,3961.0,1930.5,915.5
190,AEG41,ALB,2018,266.5,335.5,656.0,383.0,4811.0,4722.5,953.5,3490.0,4491.0,1800.5,785.0
191,AEG42,ALB,2018,230.0,403.0,731.0,480.0,4401.0,4186.0,1112.0,3278.0,4003.0,2040.0,1024.0
192,AEG43,ALB,2018,100.0,385.5,754.5,482.0,4886.5,4763.0,1168.0,3757.5,4516.5,2074.0,943.0
193,AEG44,ALB,2018,231.5,345.5,683.5,444.5,4650.5,4302.0,1042.5,3413.5,4239.0,1861.0,830.5
194,AEG45,ALB,2018,252.5,357.0,710.0,449.5,4406.0,4411.5,1008.5,3377.0,4196.0,1547.5,699.0
195,AEG46,ALB,2018,219.0,399.5,748.0,442.5,4410.0,4225.0,1139.0,3369.0,4057.0,2024.5,917.5
196,AEG47,ALB,2018,12.0,629.0,974.0,897.0,3728.0,3539.0,1526.0,2908.0,3300.0,2890.0,1575.0
197,AEG48,ALB,2018,6.5,645.5,909.5,907.5,2902.0,2689.0,1344.5,2258.5,2570.5,2684.5,1575.5
198,AEG49,ALB,2018,93.5,455.5,788.5,628.0,4318.0,4134.5,1292.5,3205.5,3876.0,2569.0,1218.0
199,AEG50,ALB,2018,375.0,328.0,657.0,348.0,4981.0,4928.0,1000.0,3733.0,4689.0,1720.0,760.0
200,HEG01,HAI,2018,128.9,374.5,751.0,469.5,4089.5,3909.0,1160.5,3109.5,3706.0,2070.0,1006.0
201,HEG02,HAI,2018,100.95,427.0,811.0,601.0,3876.0,3732.0,1344.0,3031.0,3466.0,2338.0,1187.0
202,HEG03,HAI,2018,86.8,402.5,781.5,540.5,3970.5,3763.0,1255.5,3096.0,3600.5,2170.0,1037.0
203,HEG04,HAI,2018,,440.0,740.0,648.0,3468.0,3303.0,1181.0,2560.0,3077.0,2234.0,1226.0
204,HEG05,HAI,2018,221.8,358.0,670.0,399.5,4481.5,4314.5,1039.5,3345.5,4167.5,1724.5,794.5
205,HEG06,HAI,2018,193.9,338.0,687.0,416.5,4217.5,4152.0,1124.0,3231.0,3906.0,1907.5,946.5
