,ep,explo,year,biomass_g,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2
539,HEG40,HAI,2017,71.65,342.5,734,382.5,4549.5,4427.5,1139.5,3569.5,4263,1842,805
540,HEG41,HAI,2017,109.5,525.5,910,779.5,3410,3227,1487.5,2726,3057.5,2619,1457
541,HEG42,HAI,2017,21.05,510,871,738,3505,3358,1407,2808,3162,2604,1383
542,HEG43,HAI,2017,28.45,446,836,590,3911,3812,1338,3131,3618,2132,1049
543,HEG44,HAI,2017,55.95,382.5,680,571.5,3241,3107.5,1128.5,2524.5,2955,2262.5,1137.5
544,HEG45,HAI,2017,21.6,454,854.5,665.5,3710.5,3563.5,1436,2976.5,3369.5,2589.5,1298
545,HEG46,HAI,2017,37.2,455,834.5,734.5,3467.5,3230.5,1362,2734,3129,2629,1318
546,HEG47,HAI,2017,40.65,325,747,412,4260,4164,1195,3375,3964,1749,806
547,HEG48,HAI,2017,46.7,302,675.5,373,4223,4112,1186,3309.5,3914,1848,840.5
548,HEG49,HAI,2017,92.1,296,670,335.5,4609,4563.5,1110.5,3619,4344,1710.5,747
549,HEG50,HAI,2017,149.95,289.5,685.5,371.5,4128,3967,1193.5,3310.5,3818.5,1853,846.5
550,SEG01,SCH,2017,173.3,278.5,607,302.5,4224,4172.5,1013,3262.5,3923,1748,795
551,SEG02,SCH,2017,146.1,175.5,508.5,185,5004,4811,886,3558,4575.5,1614.5,647.5
552,SEG03,SCH,2017,254.5,154.5,414,169,4378.5,4145,773,2939.5,3838.5,1423,581
553,SEG04,SCH,2017,104.5,472,832,643,4116,3856,1220.5,3053.5,3713,2385,1184.5
554,SEG05,SCH,2017,126.95,204,497,216.5,4722,4604,914.5,3377,4270.5,1702,735
555,SEG06,SCH,2017,554.15,361,684,398,4642,4428,1102,3283,4082,2293,1077
556,SEG07,SCH,2017,331.65,451.5,887,448.5,6302.5,6313,1219.5,4693,6049,1905,839
557,SEG08,SCH,2017,213.75,246,585,233,5093,5058,927,3710,4738,1602,692
558,SEG09,SCH,2017,164.6,352,679,396,4238,3914,1035,3227,3925,1994,936
559,SEG10,SCH,2017,174.2,252,601,269,4882,4711,917,3523,4441,1885,793
560,SEG11,SCH,2017,331.95,290.5,607.5,274.5,5405.5,5437,884.5,3875.5,5121.5,1628.5,691.5
561,SEG12,SCH,2017,111.85,258,613,298,4198,3994,1108,3123,3726,1729,762
562,SEG13,SCH,2017,203.4,336,717,342,5069,4960,1120,3892,4719,1653,692
563,SEG14,SCH,2017,183.2,227,566.5,248.5,4764.5,4517.5,947,3364.5,4200.5,1682.5,707
564,SEG15,SCH,2017,226.65,245,565.5,262.5,4471,4340.5,924,3308,4117.5,1556.5,687
565,SEG16,SCH,2017,97.85,240,554,225,5637,5583,837,4070,5327,1682,712
566,SEG17,SCH,2017,128.65,388,645,459,4029,3900,1030,2933,3625,2203,1087
567,SEG18,SCH,2017,232.95,232,601,301,4191,3917,1107,3151,3738,1671.5,709
568,SEG19,SCH,2017,141.8,328,681,394,4280,4080,1026,3192,3912,1777,803
569,SEG20,SCH,2017,313.35,291,602.5,285,5351.5,5163.5,910.5,3788,4977,1787.5,754
570,SEG21,SCH,2017,590.8,347,678,406,3577,3444,1002,2669,3182,1949,937
571,SEG22,SCH,2017,241.65,188,541.5,190,5102.5,4967,908.5,3673.5,4740.5,1512,637
572,SEG23,SCH,2017,171.7,217,567,230,4880,4637,945,3491,4323,1741,707
573,SEG24,SCH,2017,92,456.5,762,740.5,3615.5,3359.5,1223.5,2600,3093.5,2573,1317
574,SEG25,SCH,2017,41.85,507.5,883.5,709.5,3797,3699,1388.5,2921,3396.5,2564,1377
575,SEG26,SCH,2017,52.7,387,731,526,3746,3564.5,1191.5,2804,3307.5,2256.5,1086.5
576,SEG27,SCH,2017,71.3,305,569,471.5,3536.5,3253,1049.5,2503.5,3053,2338.5,1175.5
577,SEG28,SCH,2017,131.75,278,642,376,3926,3697,1043,2919,3494,1856,854
578,SEG29,SCH,2017,177.55,275.5,646.5,339.5,4099.5,3855.5,1007.5,3143,3773,1754.5,791.5
579,SEG30,SCH,2017,236.45,246.5,598.5,253,4510.5,4325,1016.5,3447.5,4259.5,1581.5,710
580,SEG31,SCH,2017,195.9,202,553,189,5051,4706,938,3802,4701,1522,622
581,SEG32,SCH,2017,226.75,198,573,200.5,4643.5,4638,981,3510,4338.5,1451,589
582,SEG33,SCH,2017,649.8,360,781,454,4239,3959,1274,3329,3882,2068,966
583,SEG34,SCH,2017,229.15,276,622,274,5309,5188,1046,4024,5012,1512,631
584,SEG35,SCH,2017,215.25,299,685,329,4808,4661,1155,3735,4443,1818,782
585,SEG36,SCH,2017,238.35,232.5,563,222.5,5545,5435.5,949.5,4053.5,5179.5,1461.5,577.5
586,SEG37,SCH,2017,239.5,225,568,322,4118,3819,1047,3121,3672,1689,723
587,SEG38,SCH,2017,161.4,390,899,584,4209,4079,1420,3419,3877,2236,1125
588,SEG39,SCH,2017,122.5,310,726,372,4532,4387,1207,3596,4221,1677,737
589,SEG40,SCH,2017,223.1,223,544,221,5051,4931,927,3664,4709,1433,582
590,SEG41,SCH,2017,402.15,216,596,199,5764,5661,1012,4415,5571,1765,753
591,SEG42,SCH,2017,806.9,319,721,358,4585,4566,1170,3577,4288,1921,854
592,SEG43,SCH,2017,367.6,273,611,304,4340.5,4281,964.5,3292,4051.5,1696.5,735.5
593,SEG44,SCH,2017,201,319.5,660.5,366.5,3753.5,3595.5,1049.5,2886.5,3441,2002,961.5
594,SEG45,SCH,2017,275.7,338,741,349,4861.5,4934.5,1155,3730.5,4528.5,1807.5,819.5
595,SEG46,SCH,2017,271.75,340.5,705.5,406.5,4270,4042.5,1126.5,3308,3923,1919.5,920.5
596,SEG47,SCH,2017,255.45,251.5,615.5,232.5,5979,5870,1034.5,4472,5675,1565,629
597,SEG48,SCH,2017,253.3,446.5,822.5,586,3623.5,3463.5,1290.5,2910,3322.5,2334,1281
598,SEG49,SCH,2017,168,351,762.5,365,4897,4732.5,1245,3718.5,4507,1706,767
599,SEG50,SCH,2017,212.2,279,583,280.5,4754,4560.5,970.5,3499,4372,1535.5,650.5
