date,col_name,Chronological order,Pred,shap,std
14-Sep,re3_12,128,re3_14-Sep,116.3190293,51.5781974
14-Sep,swir1_12,129,swir1_14-Sep,119.4062791,53.02177743
3-Aug,re3_9,98,re3_03-Aug,128.0833453,79.87509364
20-Jul,blue_8,81,blue_20-Jul,128.1288789,127.2545593
3-Aug,swir2_9,100,swir2_03-Aug,128.3762567,64.2518087
6-Jun,red_5,53,red_06-Jun,128.7219593,78.33509584
17-Aug,re3_10,108,re3_17-Aug,131.2281021,48.536915
26-Oct,green_15,152,green_26-Oct,131.2358633,76.85192875
28-Sep,red_13,133,red_28-Sep,133.6041509,108.7291545
25-May,swir1_4,49,swir1_25-May,134.8593501,78.53903062
30-Mar,swir2_0,10,swir2_30-Mar,136.0188239,69.0093532
28-Sep,re3_13,138,re3_28-Sep,139.8072994,51.45186274
28-Sep,green_13,132,green_28-Sep,140.8447586,66.2902747
3-Aug,red_9,93,red_03-Aug,141.642086,71.4769831
27-Apr,red_2,23,red_27-Apr,141.8735347,39.23421756
25-May,blue_4,41,blue_25-May,144.0536389,103.8445631
26-Oct,re2_15,157,re2_26-Oct,144.6102179,17.34570039
26-Oct,blue_15,151,blue_26-Oct,149.7409484,64.84960705
31-Aug,nirb_11,115,nirb_31-Aug,149.9942115,71.97684625
28-Sep,nir_13,134,nir_28-Sep,150.2451765,78.35012081
13-Apr,red_1,13,red_13-Apr,151.2332015,193.9809117
6-Jul,swir1_7,79,swir1_06-Jul,152.5371291,51.61073501
17-Aug,nir_10,104,nir_17-Aug,154.4859138,107.4650782
27-Apr,swir1_2,29,swir1_27-Apr,154.648902,65.62627831
17-Aug,green_10,102,green_17-Aug,158.3240567,70.41529427
31-Aug,swir1_11,119,swir1_31-Aug,158.7473773,100.9994127
