,explrtr,year,Qnum2,type,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2,month
380,ALB,2020,AEG49_05,grassland,329,572,416,3162,2994,945,2370,2814,1878,855,9
381,ALB,2020,AEG49_07,grassland,335,596,423,3324,3162,987,2493,2949,1960,888,9
382,ALB,2020,AEG49_08,grassland,335,596,423,3324,3162,987,2493,2949,1960,888,9
383,ALB,2020,AEG49_10,grassland,325,566,399,3052,2961,890,2252,2702,1739,784,9
384,ALB,2020,AEG20_04,grassland,423,890,613,4232,3963,1388,3302,3818,2498,1228,9
385,ALB,2020,AEG09_01,grassland,435,740,631,3247,3127,1174,2484,2864,2574,1282,9
386,ALB,2020,AEG26_01,grassland,497,806,731,3337,3167,1242,2556,2951,2600,1323,9
387,ALB,2020,AEG47_01,grassland,492,796,667,3205,2989,1216,2458,2817,2543,1314,9
388,ALB,2020,AEG42_02,grassland,236,450,296,2643,2197,794,1982,2312,1475,710,9
389,ALB,2020,AEG48_02,grassland,505,796,735,2756,2570,1231,2144,2422,2571,1432,9
390,ALB,2020,AEG07_01,grassland,421,665,519,2932,2745,1022,2256,2607,1963,939,9
391,ALB,2020,AEG15_02,grassland,312,660,393,4053,4004,1044,3045,3737,2074,986,9
392,ALB,2020,AEG46_02,grassland,445,814,535,3814,3862,1193,3001,3505,2161,1050,9
393,ALB,2020,AEG06_02,grassland,429,721,672,2998,2860,1135,2278,2658,2562.5,1416,9
394,ALB,2020,AEG25_01,grassland,390,678,565.5,3065,2851,1129.5,2319.5,2694.5,2289.5,1147.5,9
395,ALB,2020,AEG16_02,grassland,434,852,574,3914,3752,1329,3133,3587,2509,1249,9
396,ALB,2020,AEG17_01,grassland,353.5,735.5,450,4119,3921.5,1177,3164.5,3701.5,2308.5,1030,9
397,ALB,2020,AEG39_01,grassland,263,598,298,3652,3758,933,2833,3355,1746,754,9
398,ALB,2020,AEG50_02,grassland,329.5,741,413.5,4282.5,4090.5,1181.5,3318,3903.5,2167.5,971.5,9
399,ALB,2020,AEG12_10,grassland,387.5,643.5,531.5,2906.5,2745,996.5,2192.5,2563,2068.5,1093.5,9
400,ALB,2020,AEG14_01,grassland,485,807,717,3172,2926,1307,2384,2729,2665,1454,9
401,ALB,2020,AEG19_10,grassland,297,650,354,4516,4310,1025,3382,4135,2151,944,9
402,ALB,2020,AEG03_01,grassland,292,612,393,3468,3310,1000,2653,3100,2032,926,9
403,ALB,2020,AEG35_02,grassland,293,629,345,4425,4269,963,3324,4138,2069,917,9
404,ALB,2020,AEG27_02,grassland,525,869,779,3603,3417,1382,2801,3226,2792,1430,9
405,ALB,2020,AEG27_05,grassland,533,896,787,3697,3539,1356,2873,3320,2654,1320,9
406,ALB,2020,AEG27_10,grassland,451,796.5,612.5,3720,3601,1243.5,2902.5,3374,2447,1183.5,9
407,ALB,2020,AEG28_01,grassland,441.5,730.5,620.5,3478.5,3272.5,1223.5,2643,3083,2503,1199.5,9
408,ALB,2020,AEG28_02,grassland,425,740,631,3674,3442,1282,2786,3242,2668,1279,9
409,ALB,2020,AEG28_04,grassland,469,784,661,3706,3495,1324,2829,3292,2688,1299,9
410,ALB,2020,AEG28_06,grassland,446,733,624,3270,3085,1193,2520,2921,2342,1146,9
411,ALB,2020,AEG28_09,grassland,436,734,597,3252,3094,1179,2517,2909,2323,1136,9
412,ALB,2020,AEG33_02,grassland,437,743,670,3478,3274,1238,2561,3018,2544,1243,9
413,ALB,2020,AEG33_03,grassland,430,728,676,3433,3206,1237,2537,2987,2571,1262,9
414,ALB,2020,AEG33_04,grassland,430,728,676,3433,3206,1237,2537,2987,2571,1262,9
415,ALB,2020,AEG33_05,grassland,428,716,663,3389,3144,1216,2507,2948,2533,1246,9
416,ALB,2020,AEG33_06,grassland,428,716,663,3389,3144,1216,2507,2948,2533,1246,9
417,ALB,2020,AEG33_07,grassland,427,716,658,3377,3169,1216,2499,2935,2533,1250,9
418,ALB,2020,AEG33_08,grassland,427,716,658,3377,3169,1216,2499,2935,2533,1250,9
419,ALB,2020,AEG33_09,grassland,427,719,657,3389,3184,1220,2506,2934,2532,1252,9
420,ALB,2020,AEG33_10,grassland,427,719,657,3389,3184,1220,2506,2934,2532,1252,9
421,ALB,2020,AEG01_01,grassland,314,636,407,3697,3520,959,2840,3396,2144,1001,9
422,ALB,2020,AEG01_02,grassland,314,636,407,3697,3520,959,2840,3396,2144,1001,9
423,ALB,2020,AEG01_07,grassland,332,663,419,3765,3642,998,2966,3472,2118,1007,9
424,ALB,2020,AEG01_08,grassland,332,663,419,3765,3642,998,2966,3472,2118,1007,9
425,ALB,2020,AEG11_01,grassland,374,726,440,3782,3843,1046,2829,3384,1955,924,9
426,ALB,2020,AEG11_07,grassland,385,735,479,4257,4034,1200,3222,3873,2333,1154,9
427,ALB,2020,AEG11_08,grassland,385,735,479,4257,4034,1200,3222,3873,2333,1154,9
428,ALB,2020,AEG11_10,grassland,386,735,483,4240,4044,1205,3198,3873,2344,1162,9
429,ALB,2020,AEG18_01,grassland,324,683,331,4495,4281,1055,3553,4222,2113,930,9
430,ALB,2020,AEG18_02,grassland,324,683,331,4495,4281,1055,3553,4222,2113,930,9
431,ALB,2020,AEG02_01,grassland,236,422,290,3671,2895,882,2568,3302,1934,902,9
432,ALB,2020,AEG02_02,grassland,258.5,460.5,325.5,3826.5,3121,917,2654,3406,1996,942.5,9
433,ALB,2020,AEG02_04,grassland,281,499,361,3982,3347,952,2740,3510,2058,983,9
434,ALB,2020,AEG02_05,grassland,322,566,419,4067,3684,983,2791,3585,2100,1018,9
435,ALB,2020,AEG02_08,grassland,332,583,449,4046,3749,1004,2810,3620,2143,1047,9
436,ALB,2020,AEG02_09,grassland,313,560,435,3872,3627,986,2753,3471,2065,992,9
437,ALB,2020,AEG02_10,grassland,313,560,435,3872,3627,986,2753,3471,2065,992,9
438,ALB,2020,AEG21_01,grassland,313,653,375,3952,3873,1049,3138,3665,2240,1081,9
439,ALB,2020,AEG21_02,grassland,313,653,375,3952,3873,1049,3138,3665,2240,1081,9
440,ALB,2020,AEG21_03,grassland,302,657,354,4187,4174,1029,3324,3919,2214,1040,9
441,ALB,2020,AEG21_04,grassland,302,657,354,4187,4174,1029,3324,3919,2214,1040,9
442,ALB,2020,AEG21_06,grassland,294,665,337,4390,4357,1017,3483,4138,2199,1007,9
443,ALB,2020,AEG21_07,grassland,304,668,336,4396,4343,1021,3487,4126,2189,999,9
444,ALB,2020,AEG23_02,grassland,358,685,470.5,3464,3324.5,1072.5,2692.5,3142,2426,1206,9
445,ALB,2020,AEG23_05,grassland,355,684,469,3443,3314,1056,2673,3112,2416,1185,9
446,ALB,2020,AEG23_06,grassland,355,684,469,3443,3314,1056,2673,3112,2416,1185,9
447,ALB,2020,AEG23_07,grassland,359,676,475,3419,3297,1049,2661,3086,2402,1178,9
448,ALB,2020,AEG23_08,grassland,359,676,475,3419,3297,1049,2661,3086,2402,1178,9
449,ALB,2020,AEG23_09,grassland,353,670,478,3357,3228,1045,2599,3019,2405,1185,9
450,ALB,2020,AEG23_10,grassland,353,670,478,3357,3228,1045,2599,3019,2405,1185,9
451,ALB,2020,AEG24_02,grassland,400,735,572,3675,3499,1215,2792,3277,2461,1231,9
452,ALB,2020,AEG24_04,grassland,399,749,570,3708,3523,1213,2815,3317,2451,1223,9
453,ALB,2020,AEG24_05,grassland,399,741,555,3798,3633,1231,2903,3384,2468,1224,9
454,ALB,2020,AEG24_07,grassland,382,728,534,3792,3586,1224,2901,3382,2455,1219,9
455,ALB,2020,AEG24_08,grassland,382,728,534,3792,3586,1224,2901,3382,2455,1219,9
456,ALB,2020,AEG30_01,grassland,418,763,571,3754,3567,1218,2893,3410,2415,1232,9
457,ALB,2020,AEG30_04,grassland,400,721,528,3766,3554,1174,2897,3431,2334,1172,9
458,ALB,2020,AEG30_05,grassland,365,685,474,3767,3576,1140,2891,3413,2275,1127,9
459,ALB,2020,AEG30_07,grassland,334,639,417,3634,3414,1022,2778,3293,2020,976,9
460,ALB,2020,AEG30_08,grassland,334,639,417,3634,3414,1022,2778,3293,2020,976,9
