,plot id,Useful_PlotID,Exploratory,Qnum,month,year,date_releves,m from south corner,SpecRich,LAI_field,S2_timestep,mowing date,biomass_g,biomass_gm2,Grass_percent_cover,Forb_percent_cover,Legumes_percent_cover,Bare_percent_cover,Litter_percent_cover,Moss_percent_cover,Senescent_percent_cover,Moribund_percent_cover,Dung_percent_cover,Shrub_percent_cover,Green_veg_percent_cover,Grass_height,Forbs_height,Legumes_height,RPM,comments_quadrat,comments_plot,date_uav,UAV,time_UAV,green,red,rededge,nir,RAOsQ
56,AEG6,AEG06,ALB,AEG06_07,6,2020,16.06.2020,33,16,3.64,20200621,,,,40,20,8,5,2,,20,5,,,68,57,17,16,28.8,,,16.06.2020,Bluegrass,10:00,600,501,2191,2998,1.26162251
57,AEG6,AEG06,ALB,AEG06_08,6,2020,16.06.2020,37.5,16,4.3,20200621,,,,24,50,5,10,3,,6,2,,,79,52,25,16,31.6,,,16.06.2020,Bluegrass,10:00,578,316,2506,3628,0.508201382
58,AEG6,AEG06,ALB,AEG06_09,6,2020,16.06.2020,42,16,4.02,20200621,,98.51,273.6388889,22,55,5,6,5,,5,2,,,82,50,30,17,27.4,,,16.06.2020,Bluegrass,10:00,580.5,297,2548,3674.5,0.47635906
59,AEG6,AEG06,ALB,AEG06_10,6,2020,16.06.2020,46,16,3.9,20200621,,,,54,30,,5,3,,5,3,,,84,44,22,,26.8,,,16.06.2020,Bluegrass,10:00,505,266,2272,3451,0.631819219
60,AEG7,AEG07,ALB,AEG07_01,6,2020,17.06.2020,6,27,0.35,20200621,,,,15,13,3,1,3,50,,15,,,31,20,10,9,5.6,,North GCPs are 10 cm north from corners,17.06.2020,Bluegrass,13:00,761,601,2103,2996,
61,AEG7,AEG07,ALB,AEG07_02,6,2020,17.06.2020,10.5,27,0.88,20200621,,31.54,87.61111111,30,27,5,,3,20,,15,,,62,30,10,3,9.8,,South GCPs are 10 cm south from corners,17.06.2020,Bluegrass,13:00,771,531,2325,3235,
62,AEG7,AEG07,ALB,AEG07_03,6,2020,17.06.2020,15,27,1.36,20200621,,,,41,20,4,2,3,15,,15,,,65,80,6,5,13.4,Ant hive,10% slope,17.06.2020,Bluegrass,13:00,758.5,550,2147,2968.5,
63,AEG7,AEG07,ALB,AEG07_04,6,2020,17.06.2020,19.5,27,0.45,20200621,,,,37,14,6,7,5,10,,20,1,,57,10,6,6,7.2,,short grass,17.06.2020,Bluegrass,13:00,787.5,575.5,2157,2919,
64,AEG7,AEG07,ALB,AEG07_05,6,2020,17.06.2020,24,27,1.06,20200621,,52.66,146.2777778,40,20,5,1,5,6,3,20,,,65,50,4,6,15.2,Ant hive,quadrats on western side,17.06.2020,Bluegrass,13:00,766,548,2075,2866,
65,AEG7,AEG07,ALB,AEG07_06,6,2020,17.06.2020,28.5,27,1.05,20200621,,,,24,41,2,,5,3,,25,,,67,26,6,9,10.2,,measurement tape 20 cm short because of slope,17.06.2020,Bluegrass,13:00,761,546.5,2190.5,3055,
66,AEG7,AEG07,ALB,AEG07_07,6,2020,17.06.2020,33,27,0.73,20200621,,,,21,37,1,,5,8,,25,,3,62,13,8,3,9.2,3 shrub,"Mind Q9 it shoud be further from upper left corner""",17.06.2020,Bluegrass,13:00,778.5,549.5,2131.5,2928,
67,AEG7,AEG07,ALB,AEG07_08,6,2020,17.06.2020,37.5,27,0.4,20200621,,,,33.9,30,0.1,1,6,4,,25,,,64,18,7,6,7.4,,,17.06.2020,Bluegrass,13:00,769.5,548,2138,2923.5,
68,AEG7,AEG07,ALB,AEG07_09,6,2020,17.06.2020,42,27,0.21,20200621,,16.7,46.38888889,18,40,2,5,5,10,,20,,,60,9,5,5,5.8,,,17.06.2020,Bluegrass,13:00,815,577.5,2226.5,3001.5,
69,AEG7,AEG07,ALB,AEG07_10,6,2020,17.06.2020,46,27,0,20200621,,,,30,29,3,10,6,5,,17,,,62,9,2,5,2.6,,,17.06.2020,Bluegrass,13:00,862,629,2163,2884.5,
70,AEG8,AEG08,ALB,AEG08_01,6,2020,15.06.2020,6,22,1.21,20200621,,,,57,12,,2,8,4,6,9,2,,69,14,6,,11.4,,mown two weeks ago,15.06.2020,Bluegrass,9:30,,,,,
71,AEG8,AEG08,ALB,AEG08_02,6,2020,15.06.2020,10.5,22,0.59,20200621,,37.97,105.4722222,43.8,15,0.2,0.1,14.9,10,,15,1,,59,15,5,5,10.2,,,15.06.2020,Bluegrass,9:30,,,,,
72,AEG8,AEG08,ALB,AEG08_03,6,2020,15.06.2020,15,22,0.42,20200621,,,,46,12,2,,18,6,6,10,,,60,12,7,5,13,,,15.06.2020,Bluegrass,9:30,,,,,
73,AEG8,AEG08,ALB,AEG08_04,6,2020,15.06.2020,19.5,22,0.47,20200621,,,,42,20,1,1,14,1,6,15,,,63,9,7,4,9.6,,,15.06.2020,Bluegrass,9:30,,,,,
74,AEG8,AEG08,ALB,AEG08_05,6,2020,15.06.2020,24,22,0.63,20200621,,27.24,75.66666667,36,28,6,7,7,3,4,9,,,70,9,9,7,12,,,15.06.2020,Bluegrass,9:30,,,,,
75,AEG8,AEG08,ALB,AEG08_06,6,2020,15.06.2020,28.5,22,0.75,20200621,,,,51,20,3,0.1,11.9,5,2,7,,,74,10,5,4,9.2,,,15.06.2020,Bluegrass,9:30,,,,,
76,AEG8,AEG08,ALB,AEG08_07,6,2020,15.06.2020,33,22,0.28,20200621,,,,41,24,2,2,12,9,2,8,,,67,9,4,5,9.2,,,15.06.2020,Bluegrass,9:30,,,,,
77,AEG8,AEG08,ALB,AEG08_08,6,2020,15.06.2020,37.5,22,0.54,20200621,,,,50,15,8,2,8,10,,7,,,73,10,5,5,9.4,,,15.06.2020,Bluegrass,9:30,,,,,
78,AEG8,AEG08,ALB,AEG08_09,6,2020,15.06.2020,42,22,0.39,20200621,,17.76,49.33333333,41,29,2,1,7,10,2,8,,,72,9,5,3,9.2,,,15.06.2020,Bluegrass,9:30,,,,,
79,AEG8,AEG08,ALB,AEG08_10,6,2020,15.06.2020,46,22,0.38,20200621,,,,42,20,1,6,15,1,,15,,,63,50,5,5,8.4,,,15.06.2020,Bluegrass,9:30,,,,,
80,AEG9,AEG09,ALB,AEG09_01,6,2020,18.06.2020,6.05,26,0.84,20200621,,,,45.9,20,0.1,,3,15,,16,,,66,17,4,2,11.6,,grazed,18.06.2020,Bluegrass,10:00,354.5,446,384,767,0.738134665
81,AEG9,AEG09,ALB,AEG09_02,6,2020,18.06.2020,10.6,26,0.72,20200621,,10.53,29.25,24,35,6,4,4,10,2,15,,,65,12,9,2,9.8,rock,sheep,18.06.2020,Bluegrass,10:00,410.5,483,437.5,810,0.59815221
82,AEG9,AEG09,ALB,AEG09_03,6,2020,18.06.2020,15.15,26,0.99,20200621,,,,34,30,4,9,4,4,0.1,14.9,,,68,11,7,2,7.4,rock,steep slope,18.06.2020,Bluegrass,10:00,427.5,497.5,461,836,
83,AEG9,AEG09,ALB,AEG09_04,6,2020,18.06.2020,19.7,26,0.57,20200621,,,,40,27,3,1,6,7,,16,,,70,11,6,2,8,,Quadrats were place at +5 cm from their original position to compensate partially for the slope,18.06.2020,Bluegrass,10:00,430.5,514.5,442,802.5,0.5616966
84,AEG9,AEG09,ALB,AEG09_05,6,2020,18.06.2020,24.25,26,1.44,20200621,,18.02,50.05555556,46,32,3,0.1,1,1,2,14.9,,,81,16,6,8,10.8,,,18.06.2020,Bluegrass,10:00,413,442,452.5,845,0.651230255
85,AEG9,AEG09,ALB,AEG09_06,6,2020,18.06.2020,28.8,26,0.32,20200621,,,,35,43,1,2,0.1,1,,17.9,,,79,14,3,3,9.8,,Drone image looks grey,18.06.2020,Bluegrass,10:00,408.5,465.5,428.5,777.5,0.707447821
86,AEG9,AEG09,ALB,AEG09_07,6,2020,18.06.2020,33.35,26,0.22,20200621,,,,32,50,2,3,5,,,8,,,84,12,3,2,6,,some trees and shrubs,18.06.2020,Bluegrass,10:00,440.5,519.5,457,815.5,0.489579307
87,AEG9,AEG09,ALB,AEG09_08,6,2020,18.06.2020,37.9,26,0.61,20200621,,,,29,43,2,0.1,4,0.1,1,13.8,4,3,77,14,5,2,8.6,3 shrub,,18.06.2020,Bluegrass,10:00,431,507.5,440,801.5,0.539983017
88,AEG9,AEG09,ALB,AEG09_09,6,2020,18.06.2020,42.45,26,0.6,20200621,,9.84,27.33333333,33,41,1,7,3,,,15,,,75,10,7,2,6.2,,,18.06.2020,Bluegrass,10:00,422.5,510,427.5,774.5,0.618039191
89,AEG9,AEG09,ALB,AEG09_10,6,2020,18.06.2020,47,26,0.31,20200621,,,,32,39.9,0.1,13,5,,,10,,,72,6,3,1,5.8,,,18.06.2020,Bluegrass,10:00,414,535.5,402,709.5,0.560173354
90,AEG22,AEG22,ALB,AEG22_01,6,2020,19.06.2020,6,26,0.55,20200621,,,,32,35,2,4,2,5,,20,,,69,13,8,5,11.8,,overcast when flown,19.06.2020,Bluegrass,16:30,960,600,2818,3591,1.290174133
91,AEG22,AEG22,ALB,AEG22_02,6,2020,19.06.2020,10.5,26,1.37,20200621,,25,69.44444444,34,32,1,3,3,1,,26,,,67,18,13,18,12.6,,,19.06.2020,Bluegrass,16:30,926,534,2847,3709,1.126442767
92,AEG22,AEG22,ALB,AEG22_03,6,2020,19.06.2020,15,26,1.43,20200621,,,,35,40,1,2,1,1,,20,,,76,15,13,5,8.4,,,19.06.2020,Bluegrass,16:30,923.5,464.5,2999.5,3746,1.352570832
