"","explrtr","year","Qnum2","type","blue","green","red","nir","nirb","re1","re2","re3","swir1","swir2","month"
"152","HAI","2021","HEG28_02","grassland",359,702,479,3526,3320,1166,2803,3218,2243,1056,"09"
"153","HAI","2021","HEG28_03","grassland",359,702,479,3526,3320,1166,2803,3218,2243,1056,"09"
"154","HAI","2021","HEG28_04","grassland",359,712,483,3515,3323,1161,2803,3217,2242,1049,"09"
"155","HAI","2021","HEG28_05","grassland",359,712,483,3515,3323,1161,2803,3217,2242,1049,"09"
"156","HAI","2021","HEG29_01","grassland",317,686.5,401.5,3650,3515,1106,2872,3324,2178.5,995,"09"
"157","HAI","2021","HEG42_02","grassland",382.5,680,542,3241.5,3009.5,1211.5,2477,2830.5,2188.5,1111,"09"
"158","HAI","2021","HEG42_03","grassland",358,645,499,3221,2992,1179,2463,2818,2150,1087,"09"
"159","HAI","2021","HEG42_04","grassland",358,645,499,3221,2992,1179,2463,2818,2150,1087,"09"
"160","HAI","2021","HEG42_05","grassland",317,595,442,3144,2946,1065,2417,2768,2006,995,"09"
"161","HAI","2021","HEG42_08","grassland",316,597,437,3138,2954,1059,2407,2757,1974,974,"09"
"162","HAI","2021","HEG48_03","grassland",292,681,371,4007,3795,1164,3072,3585,1920,841,"09"
"163","HAI","2021","HEG48_04","grassland",299,681,377,3953,3738,1166,3035,3525,1914,844,"09"
"164","HAI","2021","HEG48_06","grassland",295.5,678,376,3941,3733.5,1167,3029,3520.5,1910,844,"09"
"165","HAI","2021","HEG48_07","grassland",292,675,375,3929,3729,1168,3023,3516,1906,844,"09"
"166","HAI","2021","HEG48_08","grassland",292,675,375,3929,3729,1168,3023,3516,1906,844,"09"
"167","HAI","2021","HEG48_10","grassland",294,686,376,3891,3693,1169,3022,3514,1888,839,"09"
"168","HAI","2021","HEG09_01","grassland",379,711,569,3396,3225,1162,2555,2986,2123,1058,"09"
"169","HAI","2021","HEG09_05","grassland",357,698,532,3447,3278,1159,2592,3025,2105,1044,"09"
"170","HAI","2021","HEG09_06","grassland",356,691.5,518,3514,3335,1156,2634,3083,2082.5,1025.5,"09"
"171","HAI","2021","HEG24_02","grassland",252,642,252,4856,4392,1097,3796,4503,1972,820,"09"
"172","HAI","2021","HEG24_06","grassland",271,696,262,4800,4806,1080,3758,4497,1966,819,"09"
"173","HAI","2021","HEG32_03","grassland",467,835,690,3495,3233,1402,2650,3041,2649,1375,"09"
"174","HAI","2021","HEG32_04","grassland",467,835,690,3495,3233,1402,2650,3041,2649,1375,"09"
"175","HAI","2021","HEG32_05","grassland",486,857,702,3560,3253,1430,2685,3075,2699,1407,"09"
"176","HAI","2021","HEG32_06","grassland",486,857,702,3560,3253,1430,2685,3075,2699,1407,"09"
"177","HAI","2021","HEG27_03","grassland",363.5,707,469.5,3342,3168,1101,2611,3026.5,2088,1002,"09"
"178","HAI","2021","HEG27_05","grassland",349.5,673,446,3336,3092,1085,2602,3018.5,2064,973.5,"09"
"179","HAI","2021","HEG27_06","grassland",322.5,639.5,396.5,3474,3155,1088.5,2706,3168.5,2078.5,972,"09"
"180","HAI","2021","HEG27_08","grassland",321.5,670.5,391.5,3563,3404.5,1083.5,2771,3270.5,2077,963.5,"09"
"181","HAI","2021","HEG27_09","grassland",319,666,381,3592,3408,1089,2800,3300,2076,962,"09"
"182","HAI","2021","HEG26_03","grassland",335,709,448.5,3426,3228.5,1171.5,2627.5,3033.5,2028,966.5,"09"
"183","HAI","2021","HEG26_04","grassland",335,709,448.5,3426,3228.5,1171.5,2627.5,3033.5,2028,966.5,"09"
"184","HAI","2021","HEG26_05","grassland",326,702,455.5,3371,3162.5,1151.5,2602.5,3000.5,1975.5,927,"09"
"185","HAI","2021","HEG26_06","grassland",326,702,455.5,3371,3162.5,1151.5,2602.5,3000.5,1975.5,927,"09"
"186","HAI","2021","HEG26_07","grassland",333,693,450.5,3356,3104.5,1150.5,2595,2991,1961,922,"09"
"187","HAI","2021","HEG26_08","grassland",333,693,450.5,3356,3104.5,1150.5,2595,2991,1961,922,"09"
"188","HAI","2021","HEG26_09","grassland",327,691.5,440,3362,3104.5,1150.5,2598,2991,1946.5,914.5,"09"
"189","HAI","2021","HEG46_02","grassland",435,751,666,3138,2972,1242,2471,2817,2724,1402,"09"
"190","HAI","2021","HEG46_03","grassland",435,751,666,3138,2972,1242,2471,2817,2724,1402,"09"
"191","HAI","2021","HEG46_06","grassland",412,721,612,3174,2987,1185,2481,2836,2618,1321,"09"
"192","HAI","2021","HEG46_08","grassland",394,707,576,3181,3038,1174,2488,2847,2628,1326,"09"
"193","HAI","2021","HEG46_09","grassland",394,707,576,3181,3038,1174,2488,2847,2628,1326,"09"
"194","HAI","2021","HEG49_01","grassland",294,655,390,3709,3555,1119,2819,3310,1939,903,"09"
"195","HAI","2021","HEG49_03","grassland",294.5,658,392,3718,3532.5,1118.5,2829,3318,1930.5,899,"09"
"196","HAI","2021","HEG49_04","grassland",295,661,394,3727,3510,1118,2839,3326,1922,895,"09"
"197","HAI","2021","HEG49_06","grassland",283,663,390,3655,3400,1116,2796,3256,1914,896,"09"
"198","HAI","2021","HEG49_08","grassland",284,656,386,3629,3367,1119,2779,3228,1917,900,"09"
"199","HAI","2021","HEG49_09","grassland",284,656,386,3629,3367,1119,2779,3228,1917,900,"09"
"200","HAI","2021","HEG21_02","grassland",389,779,464,3915,3949,1169,3069,3620,2253,1072,"09"
"201","HAI","2021","HEG21_03","grassland",389,779,464,3915,3949,1169,3069,3620,2253,1072,"09"
"202","HAI","2021","HEG21_04","grassland",364,758,424,4039,4023,1170,3157,3756,2293,1092,"09"
"203","HAI","2021","HEG21_05","grassland",364,758,424,4039,4023,1170,3157,3756,2293,1092,"09"
"204","HAI","2021","HEG21_06","grassland",371.5,748,433,4000.5,3932,1189.5,3146,3724.5,2312,1107,"09"
"205","HAI","2021","HEG21_07","grassland",379,738,442,3962,3841,1209,3135,3693,2331,1122,"09"
"206","HAI","2021","HEG21_09","grassland",419,783,513,3898,3723,1257,3117,3618,2347,1140,"09"
"207","HAI","2021","HEG23_01","grassland",265,617,339,3970,3727,1064,2993,3525,1889,819,"09"
"208","HAI","2021","HEG23_02","grassland",265,617,339,3970,3727,1064,2993,3525,1889,819,"09"
"209","HAI","2021","HEG23_04","grassland",272,631,337,4006,3755,1073,3027,3567,1894,821,"09"
"210","HAI","2021","HEG23_08","grassland",273,650,332,4084,3900,1089,3100,3643,1928,839,"09"
"211","HAI","2021","HEG23_10","grassland",277,661,331,4107,3896,1096,3113,3660,1945,850,"09"
"212","HAI","2021","HEG25_03","grassland",346,763,502,3845,3822,1383,3028,3506,2545,1400,"09"
"213","HAI","2021","HEG25_09","grassland",409,834,604,3808,3826,1433,3029,3484,2572,1423,"09"
"214","HAI","2021","HEG25_10","grassland",431,864,676,3830,3785,1412,3041,3501,2539,1390,"09"
"215","HAI","2021","HEG30_02","grassland",263,615,328,3957,3864,999,3109,3649,1855,790,"09"
"216","HAI","2021","HEG30_03","grassland",263,615,328,3957,3864,999,3109,3649,1855,790,"09"
"217","HAI","2021","HEG30_05","grassland",268,624,340,4026,3898,1030,3204,3715,1907,815,"09"
"218","HAI","2021","HEG43_01","grassland",345,622,550,2810,2633,1058,2119,2455,2163,1116,"09"
"219","HAI","2021","HEG43_02","grassland",351.5,627,555,2817,2649,1059.5,2124.5,2460,2169.5,1119.5,"09"
"220","HAI","2021","HEG43_05","grassland",381,649,571,2831,2634,1087,2142,2486,2189,1135,"09"
"221","HAI","2021","HEG43_07","grassland",381,672,589,2857,2695,1105,2167,2500,2191,1151,"09"
"222","HAI","2021","HEG43_08","grassland",381,672,589,2857,2695,1105,2167,2500,2191,1151,"09"
"223","HAI","2021","HEG01_01","grassland",453,857,672,4004,3783,1372,3068,3538,2509,1275,"09"
"224","HAI","2021","HEG01_02","grassland",453,857,672,4004,3783,1372,3068,3538,2509,1275,"09"
"225","HAI","2021","HEG16_02","grassland",300,718,331,4184,4100,1135,3343,3832,1972,870,"09"
"226","HAI","2021","HEG16_03","grassland",300,718,331,4184,4100,1135,3343,3832,1972,870,"09"
"227","HAI","2021","HEG16_04","grassland",305,719.5,341,4143.5,4046.5,1143.5,3319,3811,1993.5,881,"09"
"228","HAI","2021","HEG16_06","grassland",310,721,351,4103,3993,1152,3295,3790,2015,892,"09"
"229","HAI","2021","HEG16_07","grassland",323,718,375,4037,3858,1145,3245,3711,2011,894,"09"
"230","HAI","2021","HEG16_09","grassland",320,721,360,4148,3961,1169,3242,3746,1994,881,"09"
"231","HAI","2021","HEG16_10","grassland",320,721,360,4148,3961,1169,3242,3746,1994,881,"09"
